Metin,Tahmin Sınıfı,Tahmin Etiketi
"Neredeyse hepimizin çocukluğunu, gençliğini süsleyen nadide oyunlardan bir tanesi olan Grand Theft Auto: Vice City, bundan tam 20 yıl önce piyasaya sürülmüştü. Oynayanların çok büyük bir çoğunluğunu çileden çıkartmayı başaran helikopter görevi ise hâlen dün gibi aklımızda. Peki bu görev neden bu kadar zordu?
",6,teknoloji 
"İnternette vakit geçirirken favori aktiviteniz meme'ler bulup gülmekse, WhatsApp gruplarında her konuşmaya atacak bir meme'i olan o kişi sizseniz, size harika bir uygulama önerisi ile geldik.
",6,teknoloji 
"Uzun yıllardır dünyanın en popüler topla oynanan takım oyunu olan futbol, bugün bildiğimiz anlamdaki hâliyle ilk kez 19. yüzyılın ortalarında İngiltere’de ortaya çıktı. O günden bugüne dudak uçuklatan rakamların havada uçuştuğu dev bir sektör haline geldi. Peki dünyanın ve Türkiye’nin ilk kurulan futbol takımı hangileri biliyor musunuz? Gelin futbol tarihinin tozlu sayfalarına bir yolculuk yapalım.
",5,spor 
"Rockstar Games, geçtiğimiz günlerde hasreti sona erdirip GTA 6 için bir fragman yayımlamıştı. Ancak bu fragman için gelen bir tepki, oldukça ilginç.
",0,dunya 
"Motor sporlarının zirvesi konumunda bulunan Formula 1’in tarihinde çok sayıda büyük kaza var. Bu içeriğimizde içlerinden en öne çıkanları inceliyoruz.
",6,teknoloji 
"Geliştiriciler işlerini severek yaptığında, ortaya çıkan işin de tadı ayrı alıyor. 2018'de çıkış yapan Red Dead Redemption 2, bunun en güzel örneklerinden. Şimdiden 'spoiler' uyarımızı verelim.
",2,kultur 
"Yapay zekânın şeffaf, güvenli ve dezenformasyon olmadan kullanılmasını hedefleyen Yapay Zekâ Yasası'nda anlaşmaya varıldı.
",6,teknoloji 
"Arkadaşlarınızla vakit geçirmenin en iyi yollarından biri de oyun oynamak. Mobil co-op oyunları size hem arkadaşlarınızla hem de dünya genelindeki diğer oyuncularla bir araya gelerek eğlenme olanağını sunuyor.
",6,teknoloji 
"Evini bir hayvanla paylaşanların endişeleri genellikle benzer şeyler oluyor. Birazdan önereceğimiz ürünler ise bu endişelerinizi ortadan kaldırmaya yönelik.
",2,kultur 
"Oyun oynamaya fazla zaman ayıramayanlar için tek oturuşta çerez gibi bitirebileceğiniz oyunları sizler için derledik.
",6,teknoloji 
"Kripto varlıklar yeni bir boğaya hazırlanıyor gibi gözükürken herkesin yakından izlediği bu piyasanın büyüklüğü küresel olarak nerede kalıyor?
",1,ekonomi 
"Son God of War oyunlarında Kratos'a can veren aktör Christopher Judge, Call of Duty Modern Warfare 3'e gönderme yapmasının ardından geliştiricilerden cevap aldı.
",2,kultur 
"Cumhurbaşkanı Erdoğan'ın resmî ziyarette bulunmak üzere gittiği Atina'dan, Türk vatandaşlarına vize müjdesi gelmişti. Dışişleri Bakanlığı, uygulamaya Avrupa Komisyonu tarafından onay geldiğini, konuya ilişkin yönetmeliğin hazırlandığını açıkladı.
",0,dunya 
"En az ücretli olanlar kadar başarılı diyebileceğimiz bu uygulamalar, zaman tasarrufu açısından birçok noktada gerçekten hayat kurtarıcı olabilir.
",2,kultur 
"WhatsApp'ın en çok kullanılan özelliklerinden olan tek seferlik medya gönderimi, artık sesli mesajları da kapsıyor.
",6,teknoloji 
"Edebi metinlerin doğruluğunu belirlenmesine yardımcı olan filoloji, dillerin yapısında tarihsel gelişimi ve ilişkileri inceler. Genellikle “dil bilimi” kavramı ile karıştırılan filoloji, metni izah ederken manasını ortaya çıkarır.
",0,dunya 
"Şimdilerin bohem mekânlarında karşımıza çıkabilecek tarzdaki bu kendinden kabartmalarla yazıları barındıran cam şişeler, geçmişte hayati bir önem taşıyordu.
",4,siyaset 
"Sony, 2024'te emekliye ayrılacak PlayStation CEO'su Jim Ryan için bir veda partisi düzenledi. Partide, Ryan'a türünün tek örneği olan PS1 görünümlü özel tasarım bir PS5 hediye edildi.
",6,teknoloji 
"Meşhur uyuşturucu baronu Pablo Escobar, zamanında kendisine bir hayvanat bahçesi yaparak içine de tüm hayvanları alabildiğince doldurmuş. Doğal yaşam alanlarından alınan hayvanların ise üremelerinin önüne geçilemediği için 2035’lerde su aygırlarının kontrolsüz üremeleriyle ilgili dünyayı küçük bir sürpriz bekliyor.
",6,teknoloji 
"Instagram Başkanı Adam Mosseri, en başlarda Threads uygulaması için düşünülen isimleri açıkladı. İsimler, şirketin başta Instagram'a benzer bir yaklaşım sergilemek istediğini ortaya koyuyor.
",6,teknoloji 
"The Game Awards'ta ""Yılın Oyunu"" da dahil 6 ödül kazanan RPG Baldur's Gate, aylar süren bekleyişin ardından nihayet Xbox konsolları için satışa sunuldu.
",2,kultur 
"YouTube, içerik üreticilerinin yorumları durdurmasını sağlayan özelliğini kullanıma sundu. ""Duraklat"" butonuyla kullanılan bu özellik aktif edildiğinde videolarda hâlihazırda yer alan yorumlar kalacak, yeni yorum yapılamayacak.
",6,teknoloji 
"Apple Music, Türkiye'deki fiyatlarını artırdı. Uzun bir süre sonra yapılan zamla birlikte fiyatlar ikiye katlandı.
",6,teknoloji 
